  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -82.5   81 149.56    .29 21.7    .20 10.4   -3.7    .5 11.3    .7  2.6     .0    .0   .0    .0   .0
 030 -82.5   72 149.57    .09 22.0    .28 11.9   -5.2    .4 13.2    .9  3.0     .0    .0   .0    .0   .0
 030 -82.5   63 149.60    .22 12.1    .36   .8   -6.0    .2 21.5   1.0  3.5     .0    .0   .0    .0   .0
 030 -82.5   54 149.68    .39 12.6    .44  1.9   -6.7    .6  1.0    .9  4.0     .0    .0   .0    .0   .0
 030 -82.5   45 149.70    .44 13.8    .50  9.2   -7.7   1.0  2.4    .6  4.7     .0    .0   .0    .0   .0
 030 -82.5   36 149.63    .40 15.4    .53 10.5   -7.9   1.3  3.4    .4  5.8     .0    .0   .0    .0   .0
 030 -82.5   27 149.46    .35 17.7    .52 11.7   -7.6   1.6  4.3    .3 20.0     .0    .0   .0    .0   .0
 030 -82.5   18 149.53    .41 20.3    .45  1.1   -7.7   1.6  5.4    .4 21.9     .0    .0   .0    .0   .0
 030 -82.5    9 149.86    .53 22.4    .33  2.8   -8.3   1.4  6.9    .5 22.7     .0    .0   .0    .0   .0
 030 -75.0  360 149.08    .49 -3.5    .15  3.1   -5.9    .9  7.0    .3  3.1    4.0   2.2 16.4    .3 -2.5
 030 -75.0  351 149.00    .38 -1.5    .25  6.4   -5.0   1.3  9.4    .2 -2.0    6.3   2.1 17.3    .2 -1.3
 030 -75.0  342 148.69    .15   .9    .29  1.7   -3.5   1.4 12.0    .4 -1.3    9.0   1.8 18.0    .2  1.8
 030 -75.0  333 148.53    .23  9.2    .15  5.8   -3.1   1.1 16.3    .3  -.4   10.1   1.3 18.3    .4  3.2
 030 -75.0  324 149.06    .39 11.6    .20 11.9   -4.2   1.5 -1.5    .2   .2    8.4    .7 17.3    .5  4.4
 030 -75.0  315 149.64    .35 12.8    .34  1.8   -5.0   2.6  1.6    .1   .1    5.6    .4 11.3    .4  6.1
 030 -75.0  306 149.50    .23 15.9    .29  3.2   -5.7   2.7  3.4    .3  8.5    4.7    .7  8.4    .4  9.1
 030 -75.0  297 149.24    .43 21.2    .07   .8   -6.3   1.3  6.1    .6  9.2    5.4    .9  7.2    .9 10.2
 030 -75.0  288 149.19    .51   .0    .17  7.1   -6.3   1.3 12.0    .8  9.7    5.9    .6  8.0   1.5 10.8
 030 -75.0  279 149.34    .30 23.4    .21  9.3   -6.7   1.3 13.7    .8 10.2    4.6    .5 12.9   1.8 11.6
 030 -75.0  270 149.73    .20 22.7    .21 11.1   -6.9   1.0 21.0    .6 10.9     .6    .7 15.7   1.8 12.5
 030 -75.0  261 149.71    .38  2.2    .22   .6   -6.6   2.4 23.5    .3 11.4   -3.1    .7 17.5   1.4 13.3
 030 -75.0  252 149.14    .69   .1    .16  1.0   -6.2   2.0   .4    .3  8.9   -4.8    .5 18.7    .8 14.3
 030 -75.0  243 149.09   1.05 22.8    .25  8.9   -6.6    .8  1.7    .7  9.5   -6.6    .3 15.5    .4  5.3
 030 -75.0  234 150.36    .99 23.4    .41 11.4   -7.9    .7  3.7    .9 10.4   -8.9    .5 11.9    .9  7.7
 030 -75.0  225 151.63   1.25  1.8    .60   .9   -6.6   1.2  3.9    .7 11.7  -10.8    .8 10.6   1.1  8.6
 030 -75.0  216 151.89   1.09  1.8    .73  1.7   -3.6    .8  3.4    .6 13.2  -11.1   1.3  9.1   1.2  9.1
 030 -75.0  207 151.42    .54 20.8    .47  2.3   -1.3    .3 21.8    .6 14.6   -9.5   1.6  8.6   1.0  9.7
 030 -75.0  198 152.22    .52 20.4    .12 11.0    1.7    .4 20.2    .5 15.7   -7.4   1.0 10.6    .7 10.5
 030 -75.0  189 153.50    .36 18.0    .38  3.2    3.8    .3  5.0    .2 17.7   -4.5    .7 16.2    .5 12.6
 030 -75.0  180 152.30    .38 17.3    .32  4.6    5.0   1.1  8.2    .4  9.6   -1.0    .6 18.6    .8 14.7
 030 -75.0  171 151.35    .14 20.1    .35  4.3    4.6   1.2  9.2    .8 11.3    2.2    .4 13.5   1.0 16.0
 030 -75.0  162 150.90    .09 23.8    .45  7.7    2.3    .8  8.6   1.0 12.8    4.5   1.3 12.9   1.0 17.1
 030 -75.0  153 150.74    .26 10.4    .45 10.3    1.2    .8  6.1    .8 14.2    6.0   1.7 14.0    .7 18.2
 030 -75.0  144 150.89    .47 11.6    .40  1.8    2.6   1.3  5.2    .5 15.5    7.1   1.5 15.0    .4 19.7
 030 -75.0  135 150.47    .22  9.7    .26 10.7    3.1   1.2  6.4    .3 16.3    8.6    .8 16.1    .2 22.5
 030 -75.0  126 149.54    .19  3.9    .24  3.6    2.1    .7  9.8    .3 16.5    9.6    .2 18.1    .2 12.7
 030 -75.0  117 149.11    .17  2.7    .21  8.3    1.3    .5 14.1    .2 16.8    8.9    .3  5.7    .3   .9
 030 -75.0  108 149.19    .18  3.8    .31  5.7     .0    .1  6.4    .2 15.4    7.5    .7  8.6    .3  1.3
 030 -75.0   99 149.40    .10  9.5    .39  7.5   -1.8   1.0  5.4    .4 14.8    7.4   1.2 10.1    .4  1.8
 030 -75.0   90 149.51    .10 14.4    .34  6.7   -2.4   1.1  5.2    .4  2.4    8.9   1.6 10.7    .5  2.5
 030 -75.0   81 149.18    .10  8.0    .17  9.1   -2.3    .7  2.0    .3  1.6   10.1   1.7 10.6    .6  3.3
 030 -75.0   72 148.87    .11   .6    .23  5.1   -3.2    .6 22.8    .2   .9   10.0   1.2  9.9    .7  4.2
 030 -75.0   63 148.77    .40 19.6    .18  4.0   -4.6    .1 16.4    .1 20.3    9.4    .7  9.4    .7 17.2
 030 -75.0   54 148.83    .43 19.4    .09  3.8   -6.2    .6  8.9    .2 18.5    8.4    .3 11.1    .7 18.0
 030 -75.0   45 148.96    .29 20.9    .03   .2   -7.7   1.0  6.5    .3  5.3    6.6    .5 12.4    .7 18.8
 030 -75.0   36 149.28    .32 22.3    .14  7.1   -8.1   1.0  4.1    .2  4.4    5.2    .9 11.2    .6 19.5
 030 -75.0   27 149.11    .55 23.6    .17  8.0   -6.9   1.1 23.9    .3  1.9    4.8   1.2 11.5    .6 20.1
 030 -75.0   18 148.75    .27  1.4    .16  9.5   -5.8   1.3 22.8    .6  2.2    4.4   1.4 13.1    .5 20.6
 030 -75.0    9 148.68    .22 21.5    .17 11.1   -5.9    .7  1.2    .6  2.7    3.7   1.8 15.0    .4 21.0
 030 -67.5  360 150.12    .89  3.3    .26  5.4   -3.3   1.3  2.9    .5  1.3     .0   1.8  9.2    .5  5.1
 030 -67.5  351 150.34   1.03  3.3    .30  2.1   -3.2   1.7  3.7    .2  7.9     .3   1.9  9.2    .1  7.2
 030 -67.5  342 150.92   1.29  4.1    .09  6.9   -2.1   1.1  5.0    .5  9.3     .6   1.2  8.4    .3  -.8
 030 -67.5  333 151.30   1.13  2.1    .45 10.5   -1.0    .5  2.8    .1   .6     .5    .9  4.2    .4   .1
 030 -67.5  324 151.02   1.39   .2    .77   .1   -1.7    .8  4.4    .5  5.7     .1   1.4  3.3    .3  1.6
 030 -67.5  315 150.59   1.17  2.0    .75 -2.3   -3.3   1.9  5.7    .2  9.0    1.4   1.3  5.2    .3  4.6
 030 -67.5  306 150.26   1.46  2.2    .43  1.9   -4.9   2.4  6.3    .6 12.2    3.4   1.5  7.8    .4  4.6
 030 -67.5  297 150.59   1.30   .8    .30  6.1   -5.3   1.6  8.0    .3 12.3    3.4   2.0  9.2    .1  2.7
 030 -67.5  288 151.09    .59 -1.1    .61  9.2   -6.7   1.7 10.7    .1  9.2    1.5   1.6 12.0    .4 12.7
 030 -67.5  279 151.69    .75 16.5    .56 11.2   -8.0   1.7  9.8    .1  3.7   -1.5   1.3 13.6    .7 13.6
 030 -67.5  270 152.10   1.17 15.0    .90  2.7   -7.1   1.3  6.1    .4 12.8   -4.5   1.3  8.5   1.0  3.0
 030 -67.5  261 151.58    .29 23.2    .37  4.3   -5.1   1.7  4.1    .9 12.6   -5.0   2.7  7.0   1.0  3.9
 030 -67.5  252 150.81    .48   .2    .32 11.7   -4.3   2.0  6.0    .8 11.9   -3.8   2.9  7.8    .7 16.0
 030 -67.5  243 150.56    .94  6.3    .38 11.8   -5.0   2.1  8.2   1.2 10.9   -3.6   2.3 11.3    .6 14.5
 030 -67.5  234 150.76    .70  4.6    .42  8.4   -6.9   1.0  5.0   1.5 11.0   -3.9   2.4 13.2   1.0 14.6
 030 -67.5  225 151.38   1.44 22.9    .35  9.1   -8.4    .8  1.6   1.3 11.7   -3.5   2.4 14.9   1.1 15.6
 030 -67.5  216 152.15   1.57 22.5    .59 10.6   -7.9    .5  4.7    .9 13.3   -2.9   2.6 16.0   1.0 16.7
 030 -67.5  207 152.48    .93 21.7    .36 11.1   -5.2    .9  5.1    .9 14.1   -2.6   1.7 17.8    .9 17.4
 030 -67.5  198 152.00    .53 21.0    .16 11.9   -3.3    .7  5.1    .5 13.5   -1.3   1.6 20.4    .8 17.4
 030 -67.5  189 153.63    .14 23.5    .17  5.0   -1.3    .5  5.2    .3 11.3     .9   1.6 22.2    .6 17.4
 030 -67.5  180 152.95    .31  8.4    .26  8.4    1.8    .6  6.7    .4 11.8    4.2   1.4 21.1    .3 16.2
 030 -67.5  171 151.12    .20  2.5    .51  9.5    2.2    .9  7.7    .7 12.5    6.1   1.8 19.9    .5 16.3
 030 -67.5  162 150.45    .21  9.0    .63 10.7    1.4   1.0  8.0    .9 12.6    6.7   1.7 19.8    .8 17.1
 030 -67.5  153 150.74    .15  9.4    .49   .9     .9   1.0  7.7    .7 13.0    5.6    .9 19.2    .8 18.2
 030 -67.5  144 151.49    .43  5.4    .47  8.5    2.0    .9  6.6    .4 14.6    5.2    .7 12.1    .6 19.3
 030 -67.5  135 150.68    .30  6.2    .48   .7    3.4    .9  5.2    .5 15.7    5.7   1.3 11.2    .6 20.1
 030 -67.5  126 149.63    .41  8.2    .52  1.2    3.3   1.1  6.2    .7 15.5    5.4   1.1 11.5    .7 20.0
 030 -67.5  117 149.43    .37 11.2    .62  1.8    2.9   1.0  8.3    .7 15.6    3.6    .4 12.1    .7 20.7
 030 -67.5  108 149.33    .24  5.6    .62   .5    2.9    .4  9.3    .4 15.8    3.2    .1 13.3    .5 21.3
 030 -67.5   99 149.04    .04  9.8    .29 10.2    2.6    .5  6.4    .3  1.4    3.6    .4 15.8    .3 21.1
 030 -67.5   90 148.80    .26 23.1    .26  7.3    1.7   1.2  8.7    .5   .6    4.1   1.0 17.9    .3 20.4
