  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2
 030 -60.0  288 153.07   8.75 13.6   5.89  1.5
 030 -60.0  279 153.12   9.36 13.6   6.36  1.5
 030 -60.0  270 152.98  10.19 13.6   6.82  1.5
 030 -60.0  261 152.83  10.88 13.5   7.21  1.4
 030 -60.0  252 152.65  10.93 13.5   7.23  1.4
 030 -60.0  243 152.66  10.78 13.5   7.16  1.4
 030 -60.0  234 152.39   9.95 13.6   6.85  1.5
 030 -60.0  225 152.34   9.49 13.6   6.57  1.5
 030 -60.0  216 152.51   9.96 13.6   6.86  1.5
 030 -60.0  207 152.84  10.82 13.5   7.14  1.4
 030 -60.0  198 152.85  11.03 13.5   7.34  1.4
 030 -60.0  189 152.77  10.81 13.6   7.17  1.5
 030 -60.0  180 152.60  10.35 13.6   6.84  1.5
 030 -60.0  171 152.38   9.91 13.7   6.65  1.6
 030 -60.0  162 152.51  10.03 13.7   6.51  1.6
 030 -60.0  153 152.56  10.23 13.7   6.66  1.6
 030 -60.0  144 152.62  10.52 13.7   6.71  1.6
 030 -60.0  135 152.75  10.98 13.7   6.85  1.5
 030 -60.0  126 152.81  11.04 13.7   6.79  1.5
 030 -60.0  117 152.67  10.69 13.7   6.57  1.6
 030 -60.0  108 152.47  10.47 13.7   6.51  1.5
 030 -60.0   99 152.36  10.31 13.7   6.43  1.6
 030 -60.0   90 152.09   9.69 13.7   6.27  1.6
 030 -60.0   81 151.67   8.80 13.7   5.97  1.6
 030 -60.0   72 151.43   8.38 13.7   5.75  1.6
 030 -60.0   63 151.26   7.91 13.7   5.57  1.7
 030 -60.0   54 150.80   6.56 13.9   4.89  1.8
 030 -60.0   45 150.94   6.46 13.8   4.82  1.8
 030 -60.0   36 151.42   7.61 13.8   5.46  1.7
 030 -60.0   27 152.06   9.14 13.7   6.01  1.6
 030 -60.0   18 152.35   9.88 13.7   6.14  1.5
 030 -60.0    9 152.41   9.94 13.7   5.96  1.5
 030 -52.5  360 163.59  18.00 14.2   8.76  1.1
 030 -52.5  351 163.75  17.85 14.2   8.66  1.1
 030 -52.5  342 163.72  18.15 14.2   8.76  1.1
 030 -52.5  333 163.31  18.18 14.1   8.77  1.1
 030 -52.5  324 162.78  17.44 14.2   8.27  1.2
 030 -52.5  315 164.19  16.17 14.2   7.74  1.2
 030 -52.5  306 163.83  15.18 14.2   7.27  1.2
 030 -52.5  297 163.74  15.12 14.2   7.23  1.2
 030 -52.5  288 164.35  15.30 14.2   7.48  1.2
 030 -52.5  279 164.48  16.10 14.1   7.90  1.2
 030 -52.5  270 164.67  17.51 14.1   8.57  1.1
 030 -52.5  261 162.20  19.75 13.9   9.31  1.0
 030 -52.5  252 161.99  21.25 13.8   9.74  1.0
 030 -52.5  243 161.85  21.51 13.8   9.88  1.0
 030 -52.5  234 162.00  21.20 13.8   9.64  1.0
 030 -52.5  225 162.20  21.01 13.9   9.67  1.0
 030 -52.5  216 162.45  20.91 13.9   9.70  1.0
 030 -52.5  207 162.76  20.86 14.0   9.71  1.0
 030 -52.5  198 163.03  20.72 14.0   9.85  1.0
 030 -52.5  189 163.14  20.42 14.0   9.66  1.0
 030 -52.5  180 162.96  19.86 14.1   9.48  1.0
 030 -52.5  171 163.08  19.44 14.1   9.29  1.1
 030 -52.5  162 163.36  19.47 14.1   9.31  1.1
 030 -52.5  153 163.26  19.60 14.1   9.41  1.1
 030 -52.5  144 163.43  19.83 14.1   9.43  1.1
 030 -52.5  135 163.65  20.15 14.1   9.62  1.1
 030 -52.5  126 163.74  20.07 14.1   9.52  1.1
 030 -52.5  117 163.79  19.87 14.1   9.41  1.1
 030 -52.5  108 163.93  19.99 14.1   9.50  1.1
 030 -52.5   99 163.73  20.03 14.1   9.45  1.0
 030 -52.5   90 163.20  19.51 14.1   9.36  1.0
 030 -52.5   81 162.56  18.94 14.1   8.98  1.1
 030 -52.5   72 162.64  18.74 14.1   8.83  1.1
 030 -52.5   63 162.55  17.44 14.2   8.29  1.1
 030 -52.5   54 161.00  15.23 14.3   7.23  1.2
 030 -52.5   45 162.10  14.43 14.3   7.06  1.2
 030 -52.5   36 162.69  15.57 14.3   7.62  1.1
 030 -52.5   27 162.82  17.18 14.2   8.30  1.1
 030 -52.5   18 163.02  17.80 14.2   8.63  1.1
 030 -52.5    9 163.29  18.09 14.2   8.73  1.1
 030 -45.0  360 175.89  24.96 14.0  11.35  1.0
 030 -45.0  351 176.01  24.91 13.9  11.23  1.0
 030 -45.0  342 175.83  25.22 14.0  11.46  1.0
 030 -45.0  333 174.73  23.74 14.0  10.83  1.0
 030 -45.0  324 177.77  22.68 14.0  10.25  1.0
 030 -45.0  315 177.15  20.02 14.1   9.17  1.1
 030 -45.0  306 173.87  16.76 14.3   7.72  1.3
 030 -45.0  297 173.40  16.01 14.2   7.46  1.2
 030 -45.0  288 175.57  17.81 14.2   8.21  1.2
 030 -45.0  279 175.70  18.38 14.2   8.50  1.1
 030 -45.0  270 176.45  20.39 14.1   9.38  1.1
 030 -45.0  261 175.80  23.41 13.9  10.68  1.0
 030 -45.0  252 173.26  26.22 13.9  12.05   .9
 030 -45.0  243 171.93  27.21 13.8  12.35   .9
 030 -45.0  234 172.42  27.17 13.8  12.40   .8
 030 -45.0  225 173.30  27.62 13.8  12.51   .9
 030 -45.0  216 173.88  26.87 13.9  12.14   .9
 030 -45.0  207 174.82  26.34 13.9  12.00   .9
 030 -45.0  198 175.37  25.56 14.0  11.63   .9
 030 -45.0  189 175.29  25.17 14.0  11.56   .9
 030 -45.0  180 175.32  25.04 14.0  11.50  1.0
 030 -45.0  171 175.20  24.73 14.0  11.32  1.0
 030 -45.0  162 175.28  25.37 14.0  11.65  1.0
 030 -45.0  153 174.66  24.75 14.0  11.39  1.0
 030 -45.0  144 175.25  25.94 13.9  11.82   .9
 030 -45.0  135 175.50  25.93 14.0  11.86  1.0
 030 -45.0  126 176.18  26.74 13.9  12.01   .9
 030 -45.0  117 176.29  26.57 13.9  12.07   .9
 030 -45.0  108 176.75  26.58 13.9  11.88   .9
 030 -45.0   99 176.51  26.92 13.9  12.05   .9
 030 -45.0   90 175.74  26.40 13.9  11.89   .9
 030 -45.0   81 175.70  25.97 13.9  11.64   .9
 030 -45.0   72 177.16  26.51 13.9  11.73   .9
 030 -45.0   63 175.75  23.26 14.0  10.56  1.0
 030 -45.0   54 177.16  20.85 14.1   9.56  1.0
 030 -45.0   45 177.30  20.45 14.1   9.24  1.0
 030 -45.0   36 177.39  20.31 14.1   9.39  1.1
 030 -45.0   27 178.10  22.11 14.0  10.29  1.0
 030 -45.0   18 175.98  23.32 14.0  10.78  1.0
 030 -45.0    9 175.48  24.50 14.0  11.22  1.0
 030 -37.5  360 188.46  31.27 13.8  13.33   .8
 030 -37.5  351 187.83  31.11 13.8  13.26   .8
 030 -37.5  342 186.44  31.24 13.8  13.28   .9
 030 -37.5  333 186.95  30.89 13.8  12.84   .9
 030 -37.5  324 188.77  29.16 13.8  12.52   .9
