  Ls Hgt   Lat   TA0K   TA1K  Tp1  TA2K  Tp2     DA0     DA1%  Dp1  DA2%  Dp2     PA0
 030  15 -52.5  160.08   .92 17.7   .27  4.7  3.748E-03   .75  6.7   .23  6.9  1.141E+02
 030  10 -52.5  171.72   .94 16.7   .25  3.8  6.326E-03   .84  5.5   .23  7.3  2.065E+02
 030   9 -52.5  174.39   .93 17.3   .24  3.6  6.976E-03   .85  5.6   .23  7.0  2.312E+02
 030   8 -52.5  177.08   .92 17.3   .24  3.1  7.692E-03   .88  5.8   .23  7.3  2.589E+02
 030   7 -52.5  179.57   .88 17.8   .25  2.7  8.472E-03   .90  5.9   .23  7.3  2.891E+02
 030   6 -52.5  181.83   .84 18.3   .27  2.3  9.332E-03   .91  5.9   .25  7.8  3.224E+02
 030   5 -52.5  183.45   .77 17.3   .29  2.4  1.031E-02   .91  5.8   .27  7.6  3.593E+02
 030   4 -52.5  184.14   .71 17.4   .32  3.6  1.143E-02   .91  5.6   .29  7.7  3.999E+02
 030   3 -52.5  183.38  1.00 15.7   .44  3.7  1.278E-02  1.04  5.8   .39  7.8  4.452E+02
 030   2 -52.5  180.33  3.41 15.1  1.49  4.1  1.448E-02  2.54  5.7  1.02  8.0  4.953E+02
 030   1 -52.5  179.02  3.25 18.0  1.55  5.4  1.581E-02  1.99  6.1   .73  6.9  5.371E+02
 030   0 -52.5  177.84  1.97 16.3   .69  5.3  1.769E-02  1.67  6.4   .46  6.6  5.969E+02
 030  -1 -52.5  179.36  2.73 19.2  1.11  4.6  1.951E-02  2.12  6.6   .67  7.6  6.640E+02
 030  -2 -52.5  180.21  3.08 20.0   .86  4.6  2.155E-02  2.40  7.3   .47  7.6  7.371E+02
 030  -3 -52.5  178.33  6.40 18.2  1.74  2.9  2.423E-02  4.42  6.3  1.05  8.7  8.198E+02
 030  -4 -52.5  176.45  6.34 18.2  1.72  2.9  2.723E-02  4.42  6.3  1.05  8.7  9.117E+02
 030  -5 -52.5  174.57  6.27 18.2  1.70  2.9  3.061E-02  4.42  6.3  1.05  8.7  1.014E+03
 030  80 -45.0  162.12  6.03 13.2  5.76  2.7  6.698E-07  8.70 11.9  3.21  4.9  2.055E-02
 030  75 -45.0  154.89  6.03 13.2  5.76  2.7  1.382E-06  8.70 11.9  3.21  4.9  4.050E-02
 030  70 -45.0  147.66  6.03 13.2  5.76  2.7  2.855E-06  8.70 11.9  3.21  4.9  7.981E-02
 030  65 -45.0  140.43  6.39 13.2  5.22  3.4  5.921E-06  7.88 13.8  4.00  8.2  1.573E-01
 030  60 -45.0  143.70  6.90 14.6  3.17  3.2  1.160E-05  6.80 13.3  3.24  7.6  3.153E-01
 030  55 -45.0  144.77  6.52 11.0  2.34  4.6  2.282E-05  5.03 11.4  2.64  8.0  6.256E-01
 030  50 -45.0  146.62  5.21 14.2  2.10  7.1  4.432E-05  3.35  9.0  2.18  7.1  1.232E+00
 030  45 -45.0  148.79  4.12 11.4  1.74  8.3  8.505E-05  2.53 11.1  1.30  6.7  2.401E+00
 030  40 -45.0  150.15  2.96  6.0  1.39  8.4  1.628E-04  2.16 16.1   .85  5.6  4.641E+00
 030  35 -45.0  149.38  3.44 10.4  1.23  6.9  3.156E-04  3.01 18.1   .58  5.0  8.953E+00
 030  30 -45.0  147.89  2.21 15.2   .87  6.6  6.179E-04  2.36 12.2   .49  5.5  1.736E+01
 030  25 -45.0  149.53  1.42 17.3   .63  4.8  1.185E-03  1.52  5.6   .32  5.8  3.367E+01
 030  20 -45.0  155.77  1.26 16.1   .47  4.3  2.169E-03  1.11  6.6   .26  6.5  6.420E+01
 030  15 -45.0  164.32  1.28 17.8   .35  3.6  3.804E-03   .90  7.0   .24  7.0  1.188E+02
 030  10 -45.0  176.45  1.14 16.9   .33  2.4  6.313E-03   .88  7.0   .30  8.1  2.117E+02
 030   9 -45.0  179.06  1.10 16.7   .33  2.8  6.951E-03   .90  6.6   .30  8.1  2.365E+02
 030   8 -45.0  181.61  1.08 16.4   .33  2.4  7.650E-03   .95  6.0   .32  8.2  2.640E+02
 030   7 -45.0  183.94  1.09 16.0   .34  2.5  8.411E-03  1.01  6.7   .34  8.2  2.940E+02
 030   6 -45.0  186.06  1.15 16.4   .36  2.9  9.251E-03  1.07  6.8   .36  8.1  3.270E+02
 030   5 -45.0  187.65  1.18 16.9   .38  3.4  1.020E-02  1.09  7.0   .39  8.2  3.635E+02
 030   4 -45.0  188.93  1.39 16.4   .56  4.0  1.125E-02  1.21  6.6   .51  8.4  4.036E+02
 030   3 -45.0  189.49  2.46 17.5  1.09  4.7  1.245E-02  1.80  6.7   .82  8.6  4.479E+02
 030   2 -45.0  189.76  3.70 17.5  1.61  4.7  1.376E-02  2.71  6.3  1.09  8.3  4.957E+02
 030   1 -45.0  188.11  3.19 18.8  1.17  5.2  1.520E-02  2.35  6.4   .80  8.3  5.430E+02
 030   0 -45.0  187.75  2.98 18.3   .90  5.7  1.688E-02  2.29  6.4   .65  8.0  6.017E+02
 030  -1 -45.0  187.18  2.68 17.6  1.21  5.0  1.878E-02  2.31  6.2   .81  7.7  6.672E+02
 030  -2 -45.0  189.51  1.27 17.8   .51  6.0  2.046E-02  1.42  6.7   .39  6.8  7.367E+02
 030  -3 -45.0  188.10  1.98 14.3  1.18  5.9  2.289E-02  1.88  6.7   .82  6.8  8.176E+02
 030  -4 -45.0  187.78  1.56  9.6   .86  6.7  2.544E-02  1.70  7.2   .61  6.2  9.070E+02
 030  -5 -45.0  188.47  1.55  8.2   .75  4.7  2.806E-02  1.68  8.0   .35  9.7  1.004E+03
 030  80 -37.5  160.49  7.20 13.0  6.45  2.4  7.005E-07  7.43 12.0  4.09  5.7  2.129E-02
 030  75 -37.5  153.92  7.20 13.0  6.45  2.4  1.440E-06  7.43 12.0  4.09  5.7  4.195E-02
 030  70 -37.5  147.35  7.20 13.0  6.45  2.4  2.962E-06  7.43 12.0  4.09  5.7  8.267E-02
 030  65 -37.5  140.78  7.58 12.1  5.54  3.0  6.117E-06  6.89 14.1  4.18  7.3  1.629E-01
 030  60 -37.5  142.42  6.66 12.7  3.12  3.4  1.214E-05  6.06 15.7  2.68  7.2  3.274E-01
 030  55 -37.5  142.89  6.23 10.6  2.62  4.7  2.417E-05  5.16 11.4  2.68  7.6  6.542E-01
 030  50 -37.5  142.80  4.89 13.8  2.35  5.3  4.825E-05  4.10 12.5  2.42  7.9  1.306E+00
 030  45 -37.5  144.32  3.72 10.1  1.79  7.4  9.479E-05  3.41 11.8  1.55  6.0  2.596E+00
 030  40 -37.5  147.19  3.66  8.0  1.53  6.5  1.826E-04  2.86 15.4  1.05  5.7  5.105E+00
 030  35 -37.5  149.54  4.18 10.1  1.34  7.4  3.490E-04  3.52 18.5   .79  4.6  9.912E+00
 030  30 -37.5  151.05  3.05 14.2  1.12  6.7  6.650E-04  2.96 12.6   .47  5.2  1.908E+01
 030  25 -37.5  153.78  2.48 17.7   .72  5.0  1.246E-03  1.92  3.8   .31  5.8  3.641E+01
 030  20 -37.5  159.88  1.82 15.9   .56  4.1  2.246E-03  1.27  6.1   .29  7.1  6.823E+01
 030  15 -37.5  169.07  1.31 11.7   .35  3.6  3.866E-03  1.02 10.3   .30  8.3  1.242E+02
 030  10 -37.5  182.01  1.27 15.4   .32  3.0  6.295E-03  1.02  6.1   .35  8.2  2.177E+02
 030   9 -37.5  184.67  1.31 16.4   .33  3.3  6.908E-03  1.05  6.3   .36  8.5  2.424E+02
 030   8 -37.5  187.23  1.36 16.3   .36  3.3  7.580E-03  1.10  7.0   .38  8.6  2.696E+02
 030   7 -37.5  189.59  1.38 16.9   .39  3.7  8.310E-03  1.13  7.5   .41  8.9  2.993E+02
