  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -45.0 261 174.48 19.93 14.0  9.57  1.0
  30 -45.0 252 174.40 19.25 14.0  9.31  1.0
  30 -45.0 243 173.42 17.30 14.0  8.34  1.0
  30 -45.0 234 172.71 14.96 14.1  7.29  1.1
  30 -45.0 225 170.83 13.31 14.2  6.47  1.1
  30 -45.0 216 172.22 14.05 14.2  6.95  1.1
  30 -45.0 207 172.38 15.95 14.1  7.87  1.0
  30 -45.0 198 173.52 17.23 14.0  8.46  1.0
  30 -45.0 189 173.60 17.66 14.0  8.68  1.0
  30 -45.0 180 174.52 17.82 14.0  8.64  1.0
  30 -45.0 171 174.90 17.73 14.0  8.59  1.0
  30 -45.0 162 175.16 18.20 14.0  8.75  1.0
  30 -45.0 153 174.92 17.99 14.0  8.53  1.0
  30 -45.0 144 174.66 16.51 14.1  7.79  1.1
  30 -45.0 135 171.59 13.12 14.2  6.19  1.1
  30 -45.0 126 172.42 10.41 14.3  4.93  1.2
  30 -45.0 117 172.57  9.81 14.2  4.72  1.1
  30 -45.0 108 173.31 10.07 14.2  4.83  1.1
  30 -45.0  99 174.21 10.82 14.1  5.25  1.1
  30 -45.0  90 175.75 12.75 14.1  6.18  1.1
  30 -45.0  81 175.57 15.75 13.9  7.71  1.0
  30 -45.0  72 174.72 18.51 13.9  9.07   .9
  30 -45.0  63 173.82 19.42 13.8  9.45   .9
  30 -45.0  54 173.75 19.55 13.9  9.52   .9
  30 -45.0  45 173.53 19.76 13.9  9.58   .9
  30 -45.0  36 173.41 19.51 13.9  9.47   .9
  30 -45.0  27 173.35 18.71 14.0  9.03  1.0
  30 -45.0  18 173.45 18.40 14.0  8.86  1.0
  30 -45.0   9 173.05 18.55 14.0  8.96  1.0
  30 -37.5 360 184.41 23.17 13.9 10.76   .9
  30 -37.5 351 184.41 23.82 13.9 11.09   .9
  30 -37.5 342 185.09 24.46 13.8 11.37   .9
  30 -37.5 333 185.22 24.67 13.8 11.42   .9
  30 -37.5 324 185.43 24.73 13.8 11.49   .9
  30 -37.5 315 185.80 25.08 13.8 11.56   .9
  30 -37.5 306 186.24 25.85 13.8 11.99   .9
  30 -37.5 297 186.47 26.51 13.7 12.27   .9
  30 -37.5 288 186.38 26.96 13.7 12.38   .8
  30 -37.5 279 185.80 27.32 13.7 12.51   .8
  30 -37.5 270 185.82 26.76 13.8 12.23   .8
  30 -37.5 261 186.20 26.00 13.8 11.96   .9
  30 -37.5 252 186.33 24.84 13.8 11.47   .9
  30 -37.5 243 186.51 22.60 13.9 10.48   .9
  30 -37.5 234 186.42 20.96 14.0  9.72  1.0
  30 -37.5 225 185.36 19.95 14.0  9.26  1.0
  30 -37.5 216 185.33 19.93 14.0  9.42  1.0
  30 -37.5 207 185.34 21.02 13.9  9.90  1.0
  30 -37.5 198 186.15 22.28 13.9 10.41   .9
  30 -37.5 189 185.94 23.06 13.8 10.87   .9
  30 -37.5 180 186.68 23.27 13.8 10.90   .9
  30 -37.5 171 186.35 23.29 13.8 10.85   .9
  30 -37.5 162 186.92 23.44 13.8 10.85   .9
  30 -37.5 153 186.61 23.26 13.8 10.67   .9
  30 -37.5 144 187.12 21.66 13.9  9.92  1.0
  30 -37.5 135 184.48 17.91 14.0  8.23  1.1
  30 -37.5 126 181.01 13.27 14.1  6.17  1.1
  30 -37.5 117 181.12 11.80 14.1  5.56  1.1
  30 -37.5 108 182.24 12.22 14.1  5.78  1.1
  30 -37.5  99 184.39 13.64 14.0  6.46  1.1
  30 -37.5  90 186.22 16.28 14.0  7.62  1.0
  30 -37.5  81 187.10 19.71 13.9  9.30   .9
  30 -37.5  72 186.32 22.43 13.8 10.58   .9
  30 -37.5  63 185.52 23.38 13.8 10.91   .9
  30 -37.5  54 185.47 23.50 13.8 10.99   .9
  30 -37.5  45 185.21 23.78 13.8 11.01   .9
  30 -37.5  36 184.97 23.39 13.9 10.86   .9
  30 -37.5  27 184.93 22.64 13.9 10.50   .9
  30 -37.5  18 185.11 22.54 13.9 10.44   .9
  30 -37.5   9 184.58 22.82 13.9 10.64   .9
  30 -30.0 360 193.91 27.30 13.8 12.22   .8
  30 -30.0 351 194.47 28.20 13.7 12.63   .8
  30 -30.0 342 194.62 28.85 13.7 12.89   .8
  30 -30.0 333 194.24 28.95 13.7 12.93   .8
  30 -30.0 324 194.05 29.36 13.7 13.22   .8
  30 -30.0 315 194.46 29.88 13.7 13.32   .8
  30 -30.0 306 195.00 31.04 13.6 13.82   .8
  30 -30.0 297 195.15 32.43 13.6 14.34   .7
  30 -30.0 288 195.02 32.77 13.6 14.30   .7
  30 -30.0 279 194.90 31.33 13.7 13.66   .8
  30 -30.0 270 195.53 29.23 13.8 12.68   .8
  30 -30.0 261 196.11 28.69 13.8 12.56   .8
  30 -30.0 252 196.06 28.63 13.8 12.60   .8
  30 -30.0 243 196.11 26.88 13.8 11.87   .9
  30 -30.0 234 196.53 25.12 13.9 11.18   .9
  30 -30.0 225 196.35 24.58 13.9 10.96   .9
  30 -30.0 216 195.32 24.65 13.9 11.10   .9
  30 -30.0 207 195.87 24.84 13.8 11.20   .9
  30 -30.0 198 196.12 25.52 13.8 11.47   .9
  30 -30.0 189 196.13 26.59 13.8 12.01   .9
  30 -30.0 180 195.85 27.27 13.7 12.23   .8
  30 -30.0 171 195.74 27.38 13.7 12.27   .8
  30 -30.0 162 195.88 27.60 13.8 12.27   .8
  30 -30.0 153 195.89 27.53 13.8 12.17   .9
  30 -30.0 144 196.56 26.73 13.8 11.81   .9
  30 -30.0 135 196.47 23.74 13.9 10.62   .9
  30 -30.0 126 193.85 19.65 13.9  8.97  1.0
  30 -30.0 117 192.03 16.96 14.0  7.81  1.0
  30 -30.0 108 192.86 17.16 13.9  7.85  1.0
  30 -30.0  99 194.25 19.39 13.9  8.90  1.0
  30 -30.0  90 195.66 22.51 13.8 10.14   .9
  30 -30.0  81 196.20 25.04 13.8 11.26   .9
  30 -30.0  72 196.05 26.76 13.7 12.01   .8
  30 -30.0  63 195.77 27.13 13.8 12.13   .8
  30 -30.0  54 195.89 27.15 13.8 12.14   .8
  30 -30.0  45 195.73 27.26 13.8 12.10   .9
  30 -30.0  36 195.18 26.70 13.8 11.91   .9
  30 -30.0  27 194.78 26.15 13.8 11.67   .9
  30 -30.0  18 194.27 26.38 13.8 11.79   .9
  30 -30.0   9 193.66 26.85 13.8 12.09   .9
  30 -22.5 360 200.74 31.06 13.6 13.37   .8
  30 -22.5 351 200.63 31.62 13.6 13.60   .7
  30 -22.5 342 200.08 32.32 13.6 14.01   .7
  30 -22.5 333 198.93 34.01 13.5 14.77   .6
  30 -22.5 324 198.41 36.35 13.4 15.77   .6
  30 -22.5 315 198.70 37.29 13.4 16.04   .6
  30 -22.5 306 199.06 37.90 13.4 16.19   .6
  30 -22.5 297 199.57 39.03 13.4 16.44   .6
  30 -22.5 288 200.32 37.94 13.5 15.80   .6
  30 -22.5 279 201.37 34.38 13.7 14.33   .7
  30 -22.5 270 203.04 31.36 13.8 13.09   .8
  30 -22.5 261 203.49 30.34 13.8 12.86   .8
  30 -22.5 252 203.33 30.81 13.8 13.05   .8
  30 -22.5 243 204.12 30.29 13.8 12.74   .8
  30 -22.5 234 203.89 28.21 13.8 12.11   .9
  30 -22.5 225 203.76 27.19 13.8 11.68   .9
  30 -22.5 216 203.92 26.73 13.9 11.53   .9
  30 -22.5 207 204.14 26.21 13.8 11.41   .9
  30 -22.5 198 204.03 26.71 13.8 11.61   .9
  30 -22.5 189 203.71 27.90 13.8 12.11   .8
  30 -22.5 180 203.34 29.13 13.7 12.52   .8
  30 -22.5 171 202.55 30.04 13.7 12.92   .8
  30 -22.5 162 202.42 30.88 13.7 13.20   .8
  30 -22.5 153 202.56 31.46 13.7 13.35   .8
  30 -22.5 144 203.31 31.27 13.7 13.23   .8
  30 -22.5 135 203.33 29.32 13.7 12.53   .9
  30 -22.5 126 203.19 26.44 13.8 11.51   .9
  30 -22.5 117 201.73 24.59 13.8 10.71   .9
  30 -22.5 108 201.67 24.96 13.8 10.83   .9
  30 -22.5  99 202.76 27.28 13.7 11.76   .9
  30 -22.5  90 203.60 29.42 13.7 12.49   .8
  30 -22.5  81 203.60 30.25 13.7 12.85   .8
  30 -22.5  72 203.62 30.73 13.7 13.09   .8
  30 -22.5  63 203.65 30.83 13.7 13.12   .8
  30 -22.5  54 203.71 30.74 13.7 13.07   .8
  30 -22.5  45 203.41 30.90 13.7 13.12   .8
  30 -22.5  36 202.81 30.59 13.7 13.05   .8
  30 -22.5  27 202.33 29.72 13.8 12.79   .8
  30 -22.5  18 201.88 29.63 13.7 12.78   .8
  30 -22.5   9 201.10 30.30 13.7 13.13   .8
  30 -15.0 360 204.48 36.00 13.4 15.04   .6
  30 -15.0 351 204.03 37.06 13.4 15.46   .6
  30 -15.0 342 203.24 38.13 13.3 16.02   .5
  30 -15.0 333 201.27 41.49 13.1 17.51   .3
  30 -15.0 324 199.11 45.97 12.9 19.41   .2
  30 -15.0 315 198.85 47.33 12.9 19.63   .2
  30 -15.0 306 199.41 48.12 12.9 19.37   .3
  30 -15.0 297 199.64 49.11 13.0 19.38   .3
  30 -15.0 288 201.63 45.99 13.2 18.13   .4
  30 -15.0 279 204.31 40.89 13.4 16.31   .6
  30 -15.0 270 206.86 37.11 13.6 14.92   .7
  30 -15.0 261 207.90 34.79 13.7 14.19   .7
  30 -15.0 252 207.90 34.16 13.6 14.02   .7
  30 -15.0 243 208.22 33.94 13.7 13.88   .7
  30 -15.0 234 209.16 31.39 13.7 12.98   .8
  30 -15.0 225 209.91 28.80 13.8 12.02   .9
  30 -15.0 216 210.16 27.42 13.9 11.53   .9
  30 -15.0 207 210.62 26.94 13.9 11.36   .9
  30 -15.0 198 210.56 27.64 13.8 11.66   .9
  30 -15.0 189 210.21 28.94 13.8 12.19   .8
  30 -15.0 180 209.37 30.59 13.7 12.82   .8
  30 -15.0 171 208.22 32.63 13.6 13.59   .7
  30 -15.0 162 207.15 34.64 13.6 14.35   .7
  30 -15.0 153 206.80 36.35 13.5 14.91   .6
  30 -15.0 144 207.01 36.64 13.5 14.91   .6
  30 -15.0 135 207.83 34.82 13.6 14.06   .7
  30 -15.0 126 208.24 32.72 13.7 13.27   .8
  30 -15.0 117 208.43 31.77 13.7 12.94   .8
  30 -15.0 108 208.65 31.98 13.7 13.05   .8
  30 -15.0  99 209.33 32.69 13.7 13.30   .8
  30 -15.0  90 209.53 33.20 13.7 13.40   .8
  30 -15.0  81 209.38 33.13 13.7 13.45   .8
  30 -15.0  72 209.18 33.14 13.7 13.54   .7
  30 -15.0  63 209.09 33.27 13.7 13.63   .7
  30 -15.0  54 209.16 33.27 13.7 13.61   .7
  30 -15.0  45 208.67 33.47 13.7 13.70   .7
  30 -15.0  36 207.90 33.55 13.6 13.82   .7
  30 -15.0  27 207.25 32.80 13.6 13.65   .7
