  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -82.5  27 144.67   .03 11.2   .00  7.4    3.7   .9 11.2   .9 11.0    1.6  1.4  4.9  1.2  1.5
  30 -82.5  18 144.64   .03  8.8   .00  6.1    4.7   .7 14.8  1.2   .1    3.7  1.5  8.0  1.8  3.5
  30 -82.5   9 144.66   .06  9.1   .04  7.8    4.4  1.0 21.1  2.0   .6    6.6   .5  8.3  1.0  4.7
  30 -75.0 360 145.71   .03 17.2   .07  4.8   19.5   .8  8.6   .1  5.7    1.0   .9 12.1   .7  8.7
  30 -75.0 351 145.96   .09  7.8   .10  6.1   17.8   .7  9.3  1.0  5.7    3.1  1.6 11.6  1.2  9.3
  30 -75.0 342 145.87   .08  7.4   .10  7.8   15.8  1.3  1.5  1.7  7.2    3.4  1.6 15.1  1.6  9.8
  30 -75.0 333 145.63   .02  7.3   .03 11.3   15.6  1.9  4.3   .6  4.9    2.4  1.4 23.9  1.0  8.4
  30 -75.0 324 145.46   .04 11.0   .00  6.5   17.4  2.3  7.4   .9  6.8    3.7  1.8  9.9  1.6  9.6
  30 -75.0 315 145.50   .06 12.5   .08 11.7   17.1   .3   .3   .7  5.1    3.6  1.3  4.8   .7  9.4
  30 -75.0 306 145.53   .09 12.4   .05 11.8   15.9  2.3 16.8   .6  7.0    4.4  2.7 10.1   .6   .1
  30 -75.0 297 145.45   .06 18.6   .01 11.2   12.2  2.7 20.4   .4  7.8    2.7  1.9 16.7   .3 11.7
  30 -75.0 288 145.47   .06 17.6   .02   .8    9.1  2.9  3.3   .2   .4    3.5  1.2   .3   .8  3.5
  30 -75.0 279 145.37   .04  7.1   .03  6.7    6.3  2.0  9.8   .2 10.9    2.0  1.2  9.3   .7  3.9
  30 -75.0 270 145.33   .04 16.7   .02   .2    5.2  1.1 19.5  1.0 11.2    3.0   .1 18.7   .8  3.4
  30 -75.0 261 145.36   .06 22.2   .01   .5    3.8  1.9   .7   .2  8.8    3.6  1.0 13.2   .6  4.6
  30 -75.0 252 145.44   .04   .9   .02   .3    1.7  1.5  2.5   .4  1.8    2.8   .6 22.0   .5  5.8
  30 -75.0 243 145.51   .02  4.1   .01  5.8     .2  1.4  4.0   .2  3.7    1.4  1.4  1.9   .6  8.0
  30 -75.0 234 145.55   .01 14.3   .00  5.8   -1.1   .3 17.0   .2  3.6   -1.1   .7  4.1   .3  6.0
  30 -75.0 225 145.57   .03 17.3   .01  5.9    -.7   .9 21.5   .7  5.8   -2.7   .3  8.1   .9  9.9
  30 -75.0 216 145.50   .02 20.3   .01  5.7     .1   .5  3.9   .4  1.9   -3.8   .1 18.3   .1  8.0
  30 -75.0 207 145.43   .01 17.3   .02  6.1    1.3   .7 11.6   .4  6.6   -4.7   .2  3.0   .3  7.7
  30 -75.0 198 145.41   .02 18.1   .01  6.0    1.9   .8 15.3   .1  6.0   -5.8  1.4  9.0   .4  5.0
