  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  20 -60.0 156.58  1.65 20.0   .37   .6 5.407E+01   .96 21.7   .22 11.5 1.825E-03
  30  15 -60.0 160.60  1.12 20.6   .29   .8 1.005E+02   .57 23.3   .15 10.4 3.309E-03
  30  10 -60.0 164.75   .71 21.0   .29  1.0 1.841E+02   .44  2.2   .14  8.7 5.909E-03
  30   5 -60.0 168.72   .80 21.7   .33  1.5 3.321E+02   .41  4.3   .16  8.1 1.041E-02
  30   0 -60.0 172.68   .80 21.7   .33  1.5 5.909E+02   .41  4.3   .16  8.1 1.810E-02
  30  80 -52.5 124.44  4.99 15.2  4.41  1.6 2.103E-02  8.74 15.2  9.54   .6 8.932E-07
  30  75 -52.5 130.85  7.13 12.1  5.16  1.6 4.553E-02  7.60 16.0  7.49   .4 1.843E-06
  30  70 -52.5 136.24  8.51 13.3  3.87  1.6 9.537E-02  7.08 18.4  6.07   .0 3.718E-06
  30  65 -52.5 139.40  8.56 16.9  4.10   .3 1.955E-01  6.25 21.3  4.97 11.8 7.447E-06
  30  60 -52.5 142.08  8.47 20.8  3.61   .4 3.947E-01  4.74   .1  3.62 11.6 1.474E-05
  30  55 -52.5 144.75  7.06 23.1  2.47 11.5 7.863E-01  3.26  2.8  2.77 11.3 2.884E-05
  30  50 -52.5 148.66  5.33   .9  2.56 11.0 1.541E+00  2.21 10.6  2.15 11.4 5.500E-05
  30  45 -52.5 152.76  4.36  4.0  1.66 11.8 2.966E+00  1.91 13.8  1.51 11.4 1.029E-04
  30  40 -52.5 158.02  3.93  7.9  1.16 11.4 5.592E+00  2.26 15.8  1.16 11.2 1.872E-04
  30  35 -52.5 161.15  3.98 11.1  1.13 11.0 1.035E+01  2.56 17.8   .90 11.2 3.393E-04
  30  30 -52.5 162.93  3.05 15.0   .93 11.1 1.898E+01  2.44 19.4   .57 11.3 6.155E-04
  30  25 -52.5 164.50  2.83 18.4   .52 11.3 3.460E+01  1.81 20.8   .35 11.4 1.112E-03
  30  20 -52.5 166.89  2.18 20.2   .40 11.8 6.266E+01  1.10 22.0   .24 11.4 1.986E-03
  30  15 -52.5 170.45  1.41 21.1   .37   .5 1.123E+02   .62 23.7   .15 10.6 3.486E-03
  30  10 -52.5 174.43   .86 21.6   .32  1.3 1.988E+02   .46  2.5   .13  8.9 6.028E-03
  30   5 -52.5 177.36   .86 20.9   .37  2.7 3.477E+02   .45  5.0   .19  8.5 1.038E-02
  30   0 -52.5 178.95  1.24 17.6   .48  3.7 5.897E+02   .55  5.3   .19  8.0 1.744E-02
  30  80 -45.0 126.98  4.98 17.2  6.10  1.0 2.286E-02  7.82 14.1 11.88   .6 9.509E-07
  30  75 -45.0 131.71  6.25 11.3  5.38  1.5 4.896E-02  6.96 14.2  9.20   .4 1.968E-06
  30  70 -45.0 136.31  7.87 12.9  3.45   .4 1.022E-01  6.11 15.3  7.87   .2 3.977E-06
  30  65 -45.0 138.69  7.79 15.2  6.43 11.7 2.098E-01  5.11 17.0  6.10   .4 8.023E-06
  30  60 -45.0 139.98  8.10 19.2  5.73  1.4 4.261E-01  4.07 18.1  3.43   .3 1.615E-05
  30  55 -45.0 140.85  6.68  4.1  2.80  2.6 8.610E-01  3.21 16.9  2.33 11.3 3.242E-05
  30  50 -45.0 143.17  3.97 19.3  1.70 10.7 1.725E+00  2.75 17.2  2.12 11.1 6.380E-05
  30  45 -45.0 147.78  3.47  4.0  1.44 11.2 3.399E+00  2.27 17.0  1.54 11.2 1.218E-04
  30  40 -45.0 154.77  2.88  7.7  1.10 10.4 6.520E+00  2.14 17.3  1.16 11.3 2.229E-04
  30  35 -45.0 160.59  2.57 11.3   .94 10.7 1.216E+01  2.35 18.5   .92 11.6 4.006E-04
  30  30 -45.0 166.52  2.55 15.3   .95 11.9 2.219E+01  2.27 19.8   .63 11.7 7.046E-04
  30  25 -45.0 171.38  2.79 18.4   .76 11.9 3.972E+01  1.76 21.1   .38 11.5 1.226E-03
  30  20 -45.0 175.22  2.44 20.3   .48 11.7 7.009E+01  1.12 22.5   .22 11.1 2.117E-03
  30  15 -45.0 178.98  1.66 21.7   .35   .4 1.222E+02   .66   .3   .15 10.2 3.613E-03
  30  10 -45.0 182.63  1.04 22.1   .31  2.2 2.105E+02   .49  3.2   .16  9.2 6.100E-03
  30   5 -45.0 185.89  1.03 20.8   .41  3.2 3.594E+02   .51  5.5   .22  9.0 1.023E-02
  30   0 -45.0 189.37  1.91 18.4   .58  3.3 5.953E+02   .56  5.8   .22  8.7 1.664E-02
  30  80 -37.5 128.78  5.75 19.4  6.20   .2 2.366E-02  7.94 13.1 13.35   .3 9.706E-07
  30  75 -37.5 133.45  6.48 22.0  6.30   .3 5.015E-02  6.86 12.4 10.56   .3 1.989E-06
  30  70 -37.5 136.34  6.95  6.9  5.19   .3 1.041E-01  5.83 12.6  8.24   .3 4.046E-06
  30  65 -37.5 138.38  6.87  9.2  6.77   .1 2.136E-01  4.99 13.9  5.77   .4 8.180E-06
